"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2022","0.4791","0.4882","0.4894","0.4411","146.15M","-1.85%"
"10/12/2022","0.4882","0.4860","0.4957","0.4821","70.07M","0.44%"
"10/11/2022","0.4861","0.4939","0.5023","0.4778","102.85M","-1.57%"
"10/10/2022","0.4938","0.5326","0.5378","0.4935","101.50M","-7.22%"
"10/09/2022","0.5323","0.5170","0.5466","0.5059","80.22M","2.92%"
"10/08/2022","0.5171","0.5176","0.5291","0.5112","74.44M","-0.15%"
"10/07/2022","0.5179","0.4933","0.5325","0.4820","103.61M","4.95%"
"10/06/2022","0.4935","0.4887","0.5056","0.4883","88.98M","0.99%"
"10/05/2022","0.4886","0.4795","0.5015","0.4720","122.36M","1.90%"
"10/04/2022","0.4795","0.4621","0.4854","0.4516","106.61M","3.75%"
"10/03/2022","0.4622","0.4485","0.4693","0.4378","95.53M","3.07%"
"10/02/2022","0.4484","0.4755","0.4785","0.4445","82.41M","-5.69%"
"10/01/2022","0.4755","0.4799","0.4860","0.4669","74.54M","-0.91%"
"09/30/2022","0.4799","0.4875","0.4987","0.4703","150.04M","-1.51%"
"09/29/2022","0.4872","0.4492","0.5090","0.4270","149.06M","8.52%"
"09/28/2022","0.4489","0.4460","0.4555","0.4178","133.49M","0.53%"
"09/27/2022","0.4466","0.4682","0.4872","0.4358","151.25M","-4.61%"
"09/26/2022","0.4682","0.4916","0.5014","0.4580","157.17M","-4.86%"
"09/25/2022","0.4921","0.4878","0.5203","0.4758","176.98M","0.88%"
"09/24/2022","0.4878","0.5070","0.5191","0.4720","204.35M","-3.73%"
"09/23/2022","0.5067","0.4860","0.5585","0.4566","373.47M","4.39%"
"09/22/2022","0.4854","0.3935","0.5002","0.3935","259.63M","23.35%"
"09/21/2022","0.3935","0.4138","0.4324","0.3830","215.89M","-4.90%"
"09/20/2022","0.4138","0.3848","0.4228","0.3704","214.78M","7.55%"
"09/19/2022","0.3847","0.3577","0.3929","0.3402","144.45M","7.56%"
"09/18/2022","0.3577","0.3762","0.3976","0.3558","149.61M","-4.86%"
"09/17/2022","0.3760","0.3551","0.3806","0.3464","84.59M","5.92%"
"09/16/2022","0.3549","0.3262","0.3581","0.3215","77.53M","8.79%"
"09/15/2022","0.3262","0.3414","0.3427","0.3244","120.76M","-4.49%"
"09/14/2022","0.3416","0.3325","0.3442","0.3312","104.68M","2.71%"
"09/13/2022","0.3326","0.3598","0.3602","0.3309","132.85M","-7.55%"
"09/12/2022","0.3597","0.3552","0.3600","0.3479","62.21M","1.28%"
"09/11/2022","0.3552","0.3573","0.3603","0.3494","38.40M","-0.59%"
"09/10/2022","0.3573","0.3568","0.3618","0.3516","53.53M","0.13%"
"09/09/2022","0.3568","0.3396","0.3592","0.3394","95.07M","5.09%"
"09/08/2022","0.3396","0.3369","0.3434","0.3284","84.56M","0.79%"
"09/07/2022","0.3369","0.3212","0.3386","0.3127","102.61M","4.88%"
"09/06/2022","0.3212","0.3329","0.3430","0.3186","103.78M","-3.52%"
"09/05/2022","0.3329","0.3317","0.3336","0.3225","39.51M","0.39%"
"09/04/2022","0.3317","0.3297","0.3326","0.3277","27.10M","0.60%"
"09/03/2022","0.3297","0.3314","0.3340","0.3267","32.66M","-0.52%"
"09/02/2022","0.3314","0.3333","0.3353","0.3253","55.48M","-0.54%"
"09/01/2022","0.3332","0.3277","0.3334","0.3216","91.89M","1.66%"
"08/31/2022","0.3277","0.3268","0.3339","0.3232","84.11M","0.32%"
"08/30/2022","0.3267","0.3337","0.3357","0.3203","91.20M","-2.14%"
"08/29/2022","0.3338","0.3225","0.3340","0.3187","66.69M","3.54%"
"08/28/2022","0.3224","0.3347","0.3372","0.3214","39.79M","-3.67%"
"08/27/2022","0.3347","0.3392","0.3448","0.3284","51.17M","-1.33%"
"08/26/2022","0.3392","0.3491","0.3708","0.3327","121.73M","-2.86%"
"08/25/2022","0.3492","0.3457","0.3521","0.3435","89.77M","1.01%"
"08/24/2022","0.3457","0.3474","0.3525","0.3389","79.93M","-0.46%"
"08/23/2022","0.3473","0.3439","0.3479","0.3327","85.70M","0.94%"
"08/22/2022","0.3440","0.3448","0.3451","0.3315","61.52M","-0.22%"
"08/21/2022","0.3448","0.3368","0.3485","0.3356","44.21M","2.37%"
